Name,Team,Age,Projected_PA,HR_Park_Factor,HR_rate_raw,age_multiplier,HR_rate_final,Projected_HR
Max Schuemann,ATH,29,303.2,100,0.0457,1,0.0457,13.9
Ben Rortvedt,TBR,27,328,100,0.0413,1.02,0.0421,13.8
Dylan Carlson,BAL,27,250.4,100,0.054,1.02,0.0551,13.8
Starling Marte,NYM,37,322.7,100,0.0517,0.82,0.0424,13.7
Elvis Andrus,CWS,35,381.6,100,0.0407,0.88,0.0358,13.7
Ben Williamson,SEA,25,303.8,100,0.0428,1.05,0.0449,13.7
Dalton Rushing,LAD,25,159.6,100,0.0811,1.05,0.0851,13.6
Ronny Mauricio,NYM,25,189.5,100,0.0679,1.05,0.0713,13.5
Evan Longoria,ARI,38,222.8,100,0.0739,0.82,0.0606,13.5
David Hamilton,BOS,28,239.1,100,0.0564,1,0.0564,13.5
Miguel Cabrera,DET,41,347.8,100,0.0471,0.82,0.0387,13.4
Alex Kirilloff,MIN,27,220.3,100,0.0598,1.02,0.061,13.4
Joey Loperfido,- - -,26,262,100,0.0501,1.02,0.0511,13.4
Whit Merrifield,- - -,36,387.4,100,0.0418,0.82,0.0342,13.3
Michael Siani,STL,25,344,100,0.0366,1.05,0.0385,13.2
Aaron Hicks,- - -,34,293.3,100,0.0513,0.88,0.0451,13.2
Ezequiel Duran,TEX,27,271.5,100,0.0475,1.02,0.0484,13.2
Parker Meadows,DET,26,244.2,100,0.0525,1.02,0.0536,13.1
Juan Yepez,WSN,27,249,100,0.0513,1.02,0.0523,13
Willie Calhoun,LAA,30,254,100,0.0528,0.97,0.0512,13
Nicky Lopez,CWS,30,390.1,100,0.0342,0.97,0.0332,13
Kristian Campbell,BOS,24,270.9,100,0.0455,1.05,0.0478,13
Endy Rodriguez,PIT,24,210.1,100,0.0585,1.05,0.0615,12.9
Chris Taylor,LAD,34,270.2,100,0.0541,0.88,0.0476,12.9
Kyle Farmer,COL,35,274.8,100,0.0532,0.88,0.0468,12.9
Jorge Mateo,BAL,30,250.6,100,0.0528,0.97,0.0512,12.8
Leo Jimenez,TOR,24,216.3,100,0.0564,1.05,0.0592,12.8
Liover Peguero,PIT,23,219.4,100,0.0544,1.07,0.0582,12.8
Drew Waters,KCR,27,244.3,100,0.051,1.02,0.052,12.7
Eduardo Escobar,- - -,35,290.5,100,0.0497,0.88,0.0437,12.7
Blake Perkins,MIL,29,251.2,100,0.0505,1,0.0505,12.7
Miguel Rojas,LAD,37,318.4,100,0.0486,0.82,0.0398,12.7
Tucupita Marcano,PIT,24,226.6,100,0.0532,1.05,0.0559,12.7
Garrett Mitchell,MIL,26,224,100,0.0552,1.02,0.0563,12.6
Joey Votto,CIN,40,227.5,100,0.0669,0.82,0.0549,12.5
Jacob Stallings,COL,35,262.7,100,0.054,0.88,0.0475,12.5
Daz Cameron,OAK,28,186,100,0.0669,1,0.0669,12.4
Travis d'Arnaud,LAA,37,257.3,100,0.0585,0.82,0.048,12.4
Kameron Misner,TBR,28,217,100,0.0569,1,0.0569,12.3
Jose Trevino,CIN,33,261.5,100,0.0502,0.93,0.0467,12.2
David Peralta,SDP,37,290.1,100,0.0512,0.82,0.042,12.2
Andy Ibanez,DET,33,236.5,100,0.0552,0.93,0.0513,12.1
Kevin Newman,ARI,31,293.6,100,0.0424,0.97,0.0412,12.1
Jhonkensy Noel,CLE,24,174.6,100,0.0654,1.05,0.0687,12
Sam Hilliard,COL,31,158,100,0.0782,0.97,0.0758,12
Garrett Hampson,KCR,30,237.3,100,0.0516,0.97,0.0501,11.9
Yuli Gurriel,MIA,40,309.3,100,0.0469,0.82,0.0384,11.9
D.J. Stewart,NYM,31,191.3,100,0.064,0.97,0.0621,11.9
Nick Madrigal,CHC,27,294,100,0.0396,1.02,0.0404,11.9
Kevin Pillar,- - -,36,264.7,100,0.0546,0.82,0.0448,11.9
Luis Matos,SFG,24,191.1,100,0.0588,1.05,0.0618,11.8
Robbie Grossman,- - -,35,279.6,100,0.0478,0.88,0.042,11.8
Johan Rojas,PHI,25,236.3,100,0.0472,1.05,0.0496,11.7
Kevin Kiermaier,- - -,35,300,100,0.0443,0.88,0.039,11.7
Jahmai Jones,DET,28,150,100,0.0778,1,0.0778,11.7
Luke Keaschall,MIN,23,213.2,100,0.0512,1.07,0.0547,11.7
