Name,Team,Age,Projected_PA,HR_Park_Factor,HR_rate_raw,age_multiplier,HR_rate_final,Projected_HR
Andrew Vaughn,MIL,28,524.4,100,0.0684,1,0.0684,35.9
Ozzie Albies,ATL,29,594.8,100,0.0602,1,0.0602,35.8
Ryan Noda,OAK,28,495,100,0.072,1,0.072,35.7
Alec Burleson,STL,27,531.8,100,0.0651,1.02,0.0664,35.3
Maikel Garcia,KCR,26,631.6,100,0.0547,1.02,0.0558,35.3
Alex Bregman,BOS,32,571.2,100,0.0663,0.93,0.0617,35.2
Tyler Soderstrom,ATH,24,487.5,100,0.0687,1.05,0.0722,35.2
Josh Bell,WSN,33,566.8,100,0.0666,0.93,0.062,35.1
Hunter Goodman,COL,26,448.8,100,0.0765,1.02,0.078,35
Trevor Story,BOS,33,549.9,100,0.0684,0.93,0.0636,35
MJ Melendez,KCR,26,496.3,100,0.0683,1.02,0.0697,34.6
Isaac Paredes,HOU,27,519.8,100,0.0647,1.02,0.066,34.3
Lane Thomas,KCR,29,574.2,100,0.0597,1,0.0597,34.3
Byron Buxton,MIN,32,466.2,100,0.079,0.93,0.0735,34.3
Colt Keith,DET,24,515.3,100,0.0626,1.05,0.0657,33.8
Trent Grisham,NYY,29,463.1,100,0.0723,1,0.0723,33.5
Drake Baldwin,ATL,25,459.4,100,0.0689,1.05,0.0724,33.2
Jake Burger,TEX,30,462.3,100,0.0741,0.97,0.0719,33.2
Matt McLain,CIN,26,539.7,100,0.0603,1.02,0.0615,33.2
Logan O'Hoppe,LAA,26,435.8,100,0.0746,1.02,0.0761,33.2
Wander Franco,TBR,23,505.7,100,0.0612,1.07,0.0655,33.1
Trea Turner,PHI,33,616,100,0.0577,0.93,0.0536,33
Ezequiel Tovar,COL,24,532,100,0.059,1.05,0.062,33
Freddie Freeman,LAD,36,606.8,100,0.0662,0.82,0.0543,33
Wilyer Abreu,BOS,27,428,100,0.0754,1.02,0.0769,32.9
Masyn Winn,STL,24,590.9,100,0.0529,1.05,0.0556,32.8
Brenton Doyle,COL,28,542.2,100,0.0605,1,0.0605,32.8
Mike Trout,LAA,34,483.6,100,0.0769,0.88,0.0677,32.7
Jonathan India,KCR,29,582.9,100,0.056,1,0.056,32.6
Jorge Polanco,SEA,32,480.6,100,0.0728,0.93,0.0677,32.5
Christopher Morel,TBR,27,417,100,0.0765,1.02,0.078,32.5
Colton Cowser,BAL,26,433.7,100,0.0731,1.02,0.0746,32.3
Luis Garcia Jr.,WSN,26,520.2,100,0.0609,1.02,0.0621,32.3
Nathaniel Lowe,CIN,30,612.4,100,0.0543,0.97,0.0527,32.3
George Springer,TOR,36,572.3,100,0.0686,0.82,0.0562,32.2
Marcus Semien,TEX,35,585.2,100,0.0623,0.88,0.0548,32.1
Nolan Schanuel,LAA,24,597.2,100,0.0511,1.05,0.0536,32
Geraldo Perdomo,ARI,26,585.2,100,0.0535,1.02,0.0546,32
Jesus Sanchez,TOR,28,495.3,100,0.0641,1,0.0641,31.8
Luis Robert Jr.,CWS,28,453.2,100,0.0699,1,0.0699,31.7
Brice Turang,MIL,26,615.8,100,0.0502,1.02,0.0512,31.5
Lourdes Gurriel Jr.,ARI,32,554.9,100,0.061,0.93,0.0568,31.5
Eric Wagaman,MIA,28,514,100,0.0611,1,0.0611,31.4
Ben Rice,NYY,27,400.9,100,0.0767,1.02,0.0783,31.4
Jackson Holliday,BAL,22,501.9,100,0.0581,1.07,0.0622,31.2
Jeremy Pena,HOU,28,589.2,100,0.0529,1,0.0529,31.2
Carlos Narvaez,BOS,27,446,100,0.0683,1.02,0.0697,31.1
Mickey Moniak,COL,28,427.6,100,0.0726,1,0.0726,31
Will Smith,LAD,31,486.4,100,0.0656,0.97,0.0637,31
Dillon Dingler,DET,27,469,100,0.0647,1.02,0.0659,30.9
Jonathan Aranda,TBR,28,422,100,0.073,1,0.073,30.8
Kyle Manzardo,CLE,25,405.3,100,0.0723,1.05,0.0759,30.8
Matt Vierling,DET,28,555.9,100,0.0552,1,0.0552,30.7
Lars Nootbaar,STL,28,516.7,100,0.0593,1,0.0593,30.6
Yordan Alvarez,HOU,29,376.3,100,0.0812,1,0.0812,30.6
Alec Bohm,PHI,29,551,100,0.0554,1,0.0554,30.5
Mark Vientos,NYM,26,426.5,100,0.0697,1.02,0.0711,30.3
Nick Castellanos,PHI,34,585.1,100,0.0585,0.88,0.0515,30.1
Brendan Donovan,STL,29,535.9,100,0.0562,1,0.0562,30.1
Jose Siri,TBR,29,422.8,100,0.0711,1,0.0711,30.1
Kerry Carpenter,DET,28,411.7,100,0.0725,1,0.0725,29.9
Jasson Dominguez,NYY,23,441.9,100,0.063,1.07,0.0674,29.8
Yandy Diaz,TBR,34,596.3,100,0.0567,0.88,0.0499,29.7
Gavin Sheets,SDP,30,502,100,0.061,0.97,0.0592,29.7
Bo Bichette,TOR,28,534.5,100,0.0554,1,0.0554,29.6
Bryson Stott,PHI,28,575.1,100,0.0515,1,0.0515,29.6
Nico Hoerner,CHC,29,652.3,100,0.0454,1,0.0454,29.6
Andrew Benintendi,CWS,31,508.1,100,0.06,0.97,0.0582,29.6
Jarred Kelenic,ATL,25,452.3,100,0.0623,1.05,0.0654,29.6
Carlos Correa,HOU,31,516.9,100,0.0589,0.97,0.0572,29.5
Zack Gelof,OAK,25,487.1,100,0.0577,1.05,0.0606,29.5
Max Kepler,PHI,33,453.5,100,0.07,0.93,0.0651,29.5
Cedric Mullins,TBR,31,492,100,0.0618,0.97,0.06,29.5
Jeimer Candelario,CIN,31,496.9,100,0.0607,0.97,0.0589,29.3
Steven Kwan,CLE,28,649.7,100,0.045,1,0.045,29.3
Lenyn Sosa,CWS,26,435.9,100,0.0656,1.02,0.0669,29.1
Luis Arraez,SDP,29,665.6,100,0.0436,1,0.0436,29
Paul Goldschmidt,NYY,38,557.6,100,0.0633,0.82,0.0519,29
Austin Wells,NYY,26,435.5,100,0.0647,1.02,0.066,28.8
Jose Altuve,HOU,36,589.2,100,0.0594,0.82,0.0487,28.7
Ryan O'Hearn,PIT,32,502.9,100,0.0613,0.93,0.057,28.7
J.P. Crawford,SEA,31,589.4,100,0.0499,0.97,0.0484,28.5
Nolan Gorman,STL,26,411.1,100,0.068,1.02,0.0694,28.5
Willson Contreras,STL,34,460.8,100,0.0703,0.88,0.0618,28.5
Ronald Acuna Jr.,ATL,28,401.1,100,0.071,1,0.071,28.5
Trevor Larnach,MIN,29,463.7,100,0.0613,1,0.0613,28.4
Jose Abreu,HOU,37,558.4,100,0.0621,0.82,0.0509,28.4
Ramon Laureano,SDP,31,420.8,100,0.0695,0.97,0.0674,28.4
J.D. Martinez,NYM,37,460.8,100,0.075,0.82,0.0615,28.3
Otto Lopez,MIA,27,535.3,100,0.0518,1.02,0.0528,28.3
Ty France,SDP,31,529.5,100,0.055,0.97,0.0533,28.2
Joey Wiemer,MIL,25,422.3,100,0.0632,1.05,0.0664,28
Michael Conforto,LAD,33,484.3,100,0.0619,0.93,0.0576,27.9
Willi Castro,COL,29,502.9,100,0.0552,1,0.0552,27.8
Alejandro Kirk,TOR,27,456.9,100,0.0593,1.02,0.0605,27.6
Kody Clemens,MIN,30,386,100,0.0738,0.97,0.0716,27.6
Josh Smith,TEX,28,523.3,100,0.0526,1,0.0526,27.5
Cam Smith,HOU,23,507.8,100,0.0505,1.07,0.054,27.4
Matt Shaw,CHC,24,450.1,100,0.058,1.05,0.0609,27.4
Caleb Durbin,MIL,26,506,100,0.0529,1.02,0.054,27.3
Mike Yastrzemski,ATL,35,475.9,100,0.0647,0.88,0.0569,27.1
Adley Rutschman,BAL,28,495.9,100,0.0546,1,0.0546,27.1
Jordan Beck,COL,25,453.1,100,0.0569,1.05,0.0597,27.1
Hunter Renfroe,KCR,33,461.2,100,0.0631,0.93,0.0586,27
Jake Cronenworth,SDP,32,559.3,100,0.0519,0.93,0.0483,27
Xander Bogaerts,SDP,33,541.3,100,0.0536,0.93,0.0498,27
Addison Barger,TOR,26,400.4,100,0.066,1.02,0.0673,27
Brandon Marsh,PHI,28,447.5,100,0.0602,1,0.0602,27
Jurickson Profar,ATL,33,484.1,100,0.0598,0.93,0.0556,26.9
Miguel Vargas,CWS,26,428.3,100,0.0609,1.02,0.0621,26.6
Rhys Hoskins,MIL,33,397.3,100,0.072,0.93,0.067,26.6
Daulton Varsho,TOR,29,390.7,100,0.0681,1,0.0681,26.6
Christian Yelich,MIL,34,508.9,100,0.0593,0.88,0.0522,26.6
TJ Friedl,CIN,30,560.6,100,0.0486,0.97,0.0471,26.4
Ernie Clement,TOR,30,538.1,100,0.0505,0.97,0.049,26.3
Ryan Jeffers,MIN,29,445.4,100,0.059,1,0.059,26.3
JJ Bleday,ATH,28,429.4,100,0.0609,1,0.0609,26.1
Ryan Mountcastle,BAL,29,419.6,100,0.0622,1,0.0622,26.1
Kyle Stowers,MIA,28,366.1,100,0.0703,1,0.0703,25.7
Ke'Bryan Hayes,CIN,29,510,100,0.0505,1,0.0505,25.7
Andrew McCutchen,PIT,39,496.8,100,0.0631,0.82,0.0517,25.7
